,usertoken,visGroup,trial_duration,vars,varIndex,prior_belief,prior_lwr,prior_upr,post_belief,post_lwr,post_upr,diff_belief,diff_uncertainty,pop_corr,sample_corr,post_error,post_error_abs,prior_uncertainty,post_uncertainty,prior_sd,post_sd,exclude
10,09rIYGes,scatter,20923,Exercise amount_Body weight,2,-0.7060899251343553,-1.0,-0.2468585441725098,-1.0,-1.0,0.4291045409776579,-0.29391,0.67596,-0.4,-0.38,-0.62,0.62,0.7531414558274903,1.429104540977658,0.22961569048092276,0.714552270488829,0
11,09rIYGes,line,13515,Government spending_Budget deficit,5,0.4477340527403051,0.017923626146201688,0.8775444793344083,0.6157005761789371,0.09880650956672188,1.0,0.16797,0.04157,0.9,0.88,-0.26429942382106286,0.26429942382106286,0.8596208531882066,0.9011934904332781,0.2149052132970517,0.25844703330610763,0
12,09rIYGes,line,11168,Immigrant population_Economic growth,6,0.4492299325003992,0.07438267537259136,0.8240771896282069,0.20330535952842888,-0.5933892809431422,1.0,-0.24592,0.84369,0.4,0.24,-0.036694640471571116,0.036694640471571116,0.7496945142556155,1.5933892809431422,0.18742362856390393,0.39834732023578556,0
13,09rIYGes,line,25738,Income tax rate_Poverty rate,9,-0.019143270833318515,-0.5768719688597412,0.5385854271931043,-0.10445937041670672,-0.9963397106658858,0.7874209698324723,-0.08532,0.6683,0.0,-0.05,-0.05445937041670672,0.05445937041670672,1.1154573960528456,1.7837606804983581,0.27886434901321144,0.44594017012458953,0
14,09rIYGes,line,19447,Labor union participation_Corporate profits,8,-0.06099772728824643,-0.5152414501376232,0.3932459955611307,-0.4369396602481544,-1.0,0.12612067950369132,-0.37594,0.21763,-0.4,-0.45,0.013060339751845618,0.013060339751845618,0.908487445698754,1.1261206795036913,0.22712186142468857,0.28153016987592283,0
15,09rIYGes,scatter,31280,Temperature_Crime rate,1,0.39492761779250496,-0.11622785062816487,0.9060830862131746,0.9735888008763056,0.1524241182372632,1.0,0.57866,-0.17474,0.4,0.57,0.40358880087630566,0.40358880087630566,1.0223109368413394,0.8475758817627368,0.2555777342103349,0.4105823413195212,0
16,09rIYGes,scatter,29627,Temperature_Sales of Mittens,0,-0.5717735633907259,-0.8605387868866219,-0.2830083398948302,-1.0,-1.0,-0.5014571902060727,-0.42823,-0.07899,-0.9,-0.89,-0.10999999999999999,0.10999999999999999,0.5775304469917917,0.4985428097939273,0.14438261174794798,0.24927140489696364,0
17,09rIYGes,line,21714,Vaccination rate_Rate of illness,7,-0.3233612202234592,-1.0,0.3532775595530817,-0.7510426252411233,-1.0,-0.5020852504822466,-0.42768,-0.85536,-0.9,-0.93,0.17895737475887674,0.17895737475887674,1.3532775595530817,0.4979147495177534,0.3383193898882705,0.12447868737943835,0
18,09rIYGes,scatter,10508,Weight_Price,3,1.0,0.7619724885914094,1.0,1.0,0.6654713941884249,1.0,0.0,0.0965,0.9,0.93,0.06999999999999995,0.06999999999999995,0.23802751140859058,0.33452860581157506,0.11901375570429529,0.16726430290578753,0
19,09rIYGes,scatter,9826,Yearly income_Height,4,0.135356266619012,-0.5538154720697976,0.8245280053078217,0.1386926028284594,-0.7226147943430812,1.0,0.00334,0.34427,0.0,0.15,-0.011307397171540584,0.011307397171540584,1.3783434773776193,1.7226147943430812,0.3445858693444048,0.4306536985857703,0
20,0FGSpKJI,band,3302,Exercise amount_Body weight,5,-0.20552638432424966,-0.5584183031070242,0.14736553445852496,0.4156577547888838,-0.08679901716455007,0.9181145267423176,0.62118,0.29913,-0.4,-0.38,0.7956577547888838,0.7956577547888838,0.7057838375655492,1.0049135439068677,0.1764459593913873,0.25122838597671693,0
21,0FGSpKJI,scatter,145208,Government spending_Budget deficit,0,0.3586542257848522,-0.5075004911339123,1.0,0.0565624364408539,-0.6422271987263829,0.7553520716080906,-0.30209,-0.10992,0.9,0.88,-0.8234375635591461,0.8234375635591461,1.5075004911339123,1.3975792703344734,0.4330773584593822,0.3493948175836184,0
22,0FGSpKJI,scatter,3116,Immigrant population_Economic growth,3,0.3726619473891813,-0.4391980231892767,1.0,-0.7653118561617482,-1.0,-0.007778979702826927,-1.13797,-0.44698,0.4,0.24,-1.0053118561617482,1.0053118561617482,1.4391980231892767,0.9922210202971731,0.40592998528922897,0.37876643822946066,0
23,0FGSpKJI,scatter,4697,Income tax rate_Poverty rate,4,0.1270671595315105,-0.5078739076328045,0.7620082266958257,0.5395330097183704,0.2220951285002526,0.8569708909364881,0.41247,-0.63501,0.0,-0.05,0.5895330097183704,0.5895330097183704,1.2698821343286302,0.6348757624362356,0.3174705335821576,0.1587189406090589,0
24,0FGSpKJI,scatter,3164,Labor union participation_Corporate profits,2,0.16537659909652302,-0.2833495595186599,0.6141027577117061,-0.012563676351887432,-0.7181795530863939,0.6930522003826189,-0.17794,0.51378,-0.4,-0.45,0.4374363236481126,0.4374363236481126,0.897452317230366,1.4112317534690129,0.22436307930759153,0.3528079383672532,0
25,0FGSpKJI,band,3930,Temperature_Crime rate,7,-0.39139384825034795,-0.85466007442928,0.07187237792858436,0.3994061976841363,0.010566392020338931,0.7882460033479339,0.7908,-0.14885,0.4,0.57,-0.17059380231586363,0.17059380231586363,0.9265324523578644,0.777679611327595,0.23163311308946616,0.1944199028318988,0
26,0FGSpKJI,band,4858,Temperature_Sales of Mittens,9,0.5700380030583625,-0.014440059381037871,1.0,0.06940894329235593,-0.3972629303665214,0.536080816951233,-0.50063,-0.0811,-0.9,-0.89,0.9594089432923559,0.9594089432923559,1.0144400593810379,0.9333437473177544,0.2922390312197002,0.23333593682943865,0
27,0FGSpKJI,scatter,3666,Vaccination rate_Rate of illness,1,0.3920596688348384,-0.05910222491791872,0.8432215625875952,1.0,0.6274648508386811,1.0,0.60794,-0.52979,-0.9,-0.93,1.9300000000000002,1.9300000000000002,0.9023237875055139,0.3725351491613189,0.22558094687637856,0.18626757458065946,0
28,0FGSpKJI,band,29932,Weight_Price,6,0.6131514046006827,-0.5631510695587263,1.0,-0.35675592272338386,-0.9502465710771256,0.236734725630358,-0.96991,-0.37617,0.9,0.93,-1.2867559227233838,1.2867559227233838,1.5631510695587263,1.1869812967074835,0.5881512370797045,0.29674532417687094,0
29,0FGSpKJI,band,3048,Yearly income_Height,8,-0.057145080361185485,-0.5628216735709519,0.44853151284858095,0.4166677467150672,0.16178393383460474,0.6715515595955297,0.47381,-0.50159,0.0,0.15,0.2666677467150672,0.2666677467150672,1.0113531864195329,0.5097676257609249,0.2528382966048832,0.12744190644023126,0
30,0RciEixE,band,11745,Exercise amount_Body weight,5,0.9005383375961369,0.5885332498674163,1.0,-0.3256730602497637,-0.5212828465035121,-0.13006327399601542,-1.22621,-0.02025,-0.4,-0.38,0.05432693975023628,0.05432693975023628,0.4114667501325837,0.39121957250749667,0.1560025438643603,0.09780489312687418,0
31,0RciEixE,scatter,6378,Government spending_Budget deficit,4,-0.5083599372867664,-0.8034030733868142,-0.21331680118671864,1.0,0.9198677707944952,1.0,1.50836,-0.50995,0.9,0.88,0.12,0.12,0.5900862722000955,0.08013222920550478,0.1475215680500239,0.04006611460275239,0
32,0RciEixE,scatter,5857,Immigrant population_Economic growth,3,0.4768060236496834,0.3095274638190744,0.6440845834802922,0.6056268667574956,0.21125373351499066,1.0,0.12882,0.45419,0.4,0.24,0.36562686675749556,0.36562686675749556,0.33455711966121776,0.7887462664850093,0.08363927991530448,0.19718656662125245,0
33,0RciEixE,scatter,33209,Income tax rate_Poverty rate,1,-0.488128712542631,-0.696546615710048,-0.2797108093752141,0.1650440311330328,-0.3665031073559319,0.6965911696219975,0.65317,0.64626,0.0,-0.05,0.21504403113303278,0.21504403113303278,0.41683580633483386,1.0630942769779295,0.10420895158370846,0.26577356924448237,0
34,0RciEixE,scatter,17435,Labor union participation_Corporate profits,2,-0.3986709777415733,-0.6936471704994163,-0.1036947849837304,-0.9419537608485821,-1.0,-0.12052002610328212,-0.54328,0.28953,-0.4,-0.45,-0.49195376084858206,0.49195376084858206,0.5899523855156859,0.8794799738967178,0.1474880963789215,0.41071686737264995,0
35,0RciEixE,band,5132,Temperature_Crime rate,8,-0.4873519171459084,-0.8176462018396005,-0.15705763245221646,0.6822182099456402,0.4916716981138778,0.8727647217774028,1.16957,-0.2795,0.4,0.57,0.11221820994564025,0.11221820994564025,0.660588569387384,0.38109302366352504,0.16514714234684602,0.09527325591588132,0
36,0RciEixE,band,6027,Temperature_Sales of Mittens,9,-0.2730310408660981,-0.6852498950347019,0.13918781330250574,-1.0,-1.0,-0.9383333718086944,-0.72697,-0.76277,-0.9,-0.89,-0.10999999999999999,0.10999999999999999,0.8244377083372076,0.06166662819130564,0.2061094270843019,0.03083331409565282,0
37,0RciEixE,scatter,58729,Vaccination rate_Rate of illness,0,1.0,0.8713460440134722,1.0,-1.0,-1.0,-0.9222785327156456,-2.0,-0.05093,-0.9,-0.93,-0.06999999999999995,0.06999999999999995,0.12865395598652785,0.07772146728435436,0.06432697799326392,0.03886073364217718,0
38,0RciEixE,band,4034,Weight_Price,7,-0.4870755014270736,-0.928967824330796,-0.04518317852335119,1.0,0.9212423694279734,1.0,1.48708,-0.80503,0.9,0.93,0.06999999999999995,0.06999999999999995,0.8837846458074449,0.07875763057202656,0.22094616145186122,0.03937881528601328,0
39,0RciEixE,band,8118,Yearly income_Height,6,0.2477867350412839,0.1589586170349726,0.336614853047595,0.5451900176106241,0.2354317587950117,0.8549482764262362,0.2974,0.44186,0.0,0.15,0.3951900176106241,0.3951900176106241,0.17765623601262237,0.6195165176312245,0.04441405900315565,0.15487912940780624,0
40,0Xp9yMo0,scatter,25825,Exercise amount_Body weight,0,-0.46039014647386794,-0.6550092276204119,-0.265771065327324,-0.4862379266836686,-0.8323842214347701,-0.14009163193256713,-0.02585,0.30305,-0.4,-0.38,-0.1062379266836686,0.1062379266836686,0.38923816229308794,0.692292589502203,0.09730954057327199,0.17307314737555074,0
41,0Xp9yMo0,hop,12709,Government spending_Budget deficit,5,0.8039212458037741,0.6527690484869051,0.9550734431206434,0.8094996139613875,0.6674418512483127,0.9515573766744624,0.00558,-0.01819,0.9,0.88,-0.07050038603861253,0.07050038603861253,0.30230439463373826,0.2841155254261497,0.07557609865843462,0.07102888135653745,0
42,0Xp9yMo0,hop,14089,Immigrant population_Economic growth,6,0.2134664624311835,-0.10323553286409104,0.5301684577264579,0.005652800174806405,-0.4757913009254644,0.487096901275077,-0.20781,0.32948,0.4,0.24,-0.2343471998251936,0.2343471998251936,0.633403990590549,0.9628882022005414,0.15835099764763727,0.2407220505501354,0
43,0Xp9yMo0,hop,17264,Income tax rate_Poverty rate,8,0.2922779464832215,0.04112486641251434,0.5434310265539288,-0.017583046202827024,-0.5404869870745914,0.5053208946689371,-0.30986,0.5435,0.0,-0.05,0.03241695379717298,0.03241695379717298,0.5023061601414145,1.0458078817435286,0.12557654003535368,0.2614519704358822,0
44,0Xp9yMo0,hop,15356,Labor union participation_Corporate profits,7,-0.46458205021133603,-0.6770704110148964,-0.2520936894077756,-0.15136257248580653,-0.36290158204766,0.060176437076046925,0.31322,-0.0019,-0.4,-0.45,0.2986374275141935,0.2986374275141935,0.4249767216071208,0.4230780191237069,0.10624418040178021,0.10576950478092673,0
45,0Xp9yMo0,scatter,16075,Temperature_Crime rate,2,0.2356539746058353,0.04818568399922052,0.4231222652124504,0.4831441866510522,0.2897974060498403,0.6764909672522643,0.24749,0.01176,0.4,0.57,-0.08685581334894776,0.08685581334894776,0.37493658121322987,0.38669356120242404,0.09373414530330755,0.09667339030060607,0
46,0Xp9yMo0,scatter,16462,Temperature_Sales of Mittens,4,-0.7207921237581056,-0.7857376308449311,-0.6558466166712802,-0.8134366122248575,-0.8842150895012337,-0.7426581349484813,-0.09264,0.01167,-0.9,-0.89,0.07656338777514249,0.07656338777514249,0.1298910141736509,0.1415569545527524,0.032472753543412725,0.0353892386381881,0
47,0Xp9yMo0,hop,8353,Vaccination rate_Rate of illness,9,-0.573044120590928,-0.7954114291328576,-0.35067681204899864,-0.7517033823020474,-0.7896072550399253,-0.7137995095641694,-0.17866,-0.36893,-0.9,-0.93,0.1782966176979527,0.1782966176979527,0.4447346170838589,0.07580774547575597,0.11118365427096477,0.018951936368938993,0
48,0Xp9yMo0,scatter,14894,Weight_Price,1,0.7959271723870807,0.7305471773592955,0.8613071674148658,0.7827298515830781,0.7493228446918931,0.8161368584742636,-0.0132,-0.06395,0.9,0.93,-0.147270148416922,0.147270148416922,0.13075999005557026,0.06681401378237051,0.032689997513892566,0.016703503445592793,0
49,0Xp9yMo0,scatter,11643,Yearly income_Height,3,-0.0018136094163572203,-0.6219209864653521,0.6182937676326377,-0.0014982277435171,-0.3917440683693765,0.38874761288234216,0.00032,-0.45972,0.0,0.15,-0.1514982277435171,0.1514982277435171,1.2402147540979898,0.7804916812517186,0.31005368852449744,0.1951229203129297,0
50,0ZjAFmDL,line,64046,Exercise amount_Body weight,5,-0.6115784508998825,-1.0,-0.22315690179976505,0.5982673246180057,-0.7735860442565896,1.0,1.20985,0.99674,-0.4,-0.38,0.9782673246180057,0.9782673246180057,0.776843098200235,1.7735860442565896,0.19421077455005875,0.6859266844372977,0
51,0ZjAFmDL,scatter,54546,Government spending_Budget deficit,3,-0.3923114182608356,-0.7822823252889509,-0.002340511232719944,1.0,0.7070143793497576,1.0,1.39231,-0.48696,0.9,0.88,0.12,0.12,0.779941814056231,0.29298562065024236,0.19498545351405783,0.14649281032512118,0
52,0ZjAFmDL,scatter,91819,Immigrant population_Economic growth,4,-0.6952959189540677,-0.7802669152093824,-0.6103249226987528,-0.7713481828622304,-1.0,0.5134647707142519,-0.07605,1.34352,0.4,0.24,-1.0113481828622304,1.0113481828622304,0.16994199251062958,1.513464770714252,0.04248549812765745,0.6424064767882411,0
53,0ZjAFmDL,scatter,116580,Income tax rate_Poverty rate,1,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,2.0,0.0,-0.05,1.05,1.05,0.0,2.0,0.001,1.0,0
54,0ZjAFmDL,scatter,20410,Labor union participation_Corporate profits,2,0.6459826582967569,-0.19294858904252526,1.0,-0.4408714069828496,-0.8863338020428855,0.004590988077186164,-1.08685,-0.30202,-0.4,-0.45,0.00912859301715041,0.00912859301715041,1.1929485890425253,0.8909247901200716,0.41946562366964113,0.22273119753001794,0
55,0ZjAFmDL,line,66509,Temperature_Crime rate,6,0.3779626085487591,0.023074940143519518,0.7328502769539986,0.5451337235899523,0.09225999570154177,0.9980074514783628,0.16717,0.19597,0.4,0.57,-0.024866276410047683,0.024866276410047683,0.7097753368104791,0.905747455776821,0.1774438342026198,0.22643686394420526,0
56,0ZjAFmDL,line,44253,Temperature_Sales of Mittens,7,1.0,0.6619997692612294,1.0,-1.0,-1.0,-1.0,-2.0,-0.338,-0.9,-0.89,-0.10999999999999999,0.10999999999999999,0.3380002307387706,0.0,0.1690001153693853,0.001,0
57,0ZjAFmDL,scatter,86653,Vaccination rate_Rate of illness,0,-1.0,-1.0,-0.9420649107553024,-0.9086901122557832,-1.0,-0.7465468889581455,0.09131,0.19552,-0.9,-0.93,0.021309887744216827,0.021309887744216827,0.05793508924469759,0.25345311104185453,0.028967544622348795,0.08107161164881888,0
58,0ZjAFmDL,line,59027,Weight_Price,8,0.559337866144572,0.16986743760126655,0.9488082946878782,1.0,0.5200063518740168,1.0,0.44066,-0.29895,0.9,0.93,0.06999999999999995,0.06999999999999995,0.7789408570866116,0.4799936481259832,0.19473521427165308,0.2399968240629916,0
59,0ZjAFmDL,line,22845,Yearly income_Height,9,0.061947476130962416,-0.3432896234797957,0.4671845757417208,-1.0,-1.0,-0.7151503239762893,-1.06195,-0.52562,0.0,0.15,-1.15,1.15,0.8104741992215165,0.2848496760237107,0.2026185498053792,0.14242483801185535,0
60,1TXFgBI8,band,18052,Exercise amount_Body weight,9,-0.684806450476231,-0.948095396914508,-0.4215175040379537,-0.4302185427074164,-0.7331055546523041,-0.12733153076252884,0.25459,0.0792,-0.4,-0.38,-0.05021854270741638,0.05021854270741638,0.5265778928765543,0.6057740238897753,0.13164447321913866,0.15144350597244385,0
61,1TXFgBI8,scatter,16685,Government spending_Budget deficit,1,0.9284197343113624,0.5943162607944841,1.0,0.917732881380832,0.7986960143893462,1.0,-0.01069,-0.20438,0.9,0.88,0.03773288138083197,0.03773288138083197,0.4056837392055159,0.20130398561065377,0.16705173675843915,0.05951843349574287,0
62,1TXFgBI8,scatter,27999,Immigrant population_Economic growth,0,-0.32665930420347,-0.535825999674197,-0.11749260873274285,0.808082543054025,0.6512262107241917,0.964938875383858,1.13474,-0.10462,0.4,0.24,0.5680825430540251,0.5680825430540251,0.4183333909414541,0.3137126646596663,0.10458334773536357,0.07842816616491666,0
63,1TXFgBI8,scatter,17616,Income tax rate_Poverty rate,4,-0.5196953836127589,-0.8311433623955697,-0.20824740482994786,-0.11061167840877162,-0.4611752939564985,0.2399519371389553,0.40908,0.07823,0.0,-0.05,-0.060611678408771616,0.060611678408771616,0.6228959575656219,0.7011272310954537,0.15572398939140553,0.17528180777386346,0
64,1TXFgBI8,scatter,11507,Labor union participation_Corporate profits,3,-0.4640216694637443,-0.7161653795473866,-0.21187795938010207,-0.20203167342674305,-0.4778227687268487,0.07375942187336282,0.26199,0.04729,-0.4,-0.45,0.24796832657325696,0.24796832657325696,0.5042874201672845,0.5515821906002115,0.12607185504182114,0.13789554765005294,0
65,1TXFgBI8,band,13560,Temperature_Crime rate,6,0.17652231466907753,-0.1543707963514565,0.5074154256896115,0.6512262107241917,0.4026662042313933,0.8997862172169904,0.4747,-0.16467,0.4,0.57,0.08122621072419178,0.08122621072419178,0.661786222041068,0.49712001298559705,0.16544655551026702,0.12428000324639932,0
66,1TXFgBI8,band,24717,Temperature_Sales of Mittens,5,0.9026671590121867,0.7832631194313029,1.0,-0.8295854885836449,-0.9990406595873682,-0.6601303175799216,-1.73225,0.12217,-0.9,-0.89,0.06041451141635512,0.06041451141635512,0.2167368805686971,0.33891034200744663,0.05970201979044193,0.08472758550186166,0
67,1TXFgBI8,scatter,85508,Vaccination rate_Rate of illness,2,-0.6088123321542007,-0.8420315295778158,-0.3755931347305856,-0.9415780461180352,-1.0,-0.8829262098368529,-0.33277,-0.34936,-0.9,-0.93,-0.011578046118035146,0.011578046118035146,0.4664383948472302,0.11707379016314712,0.11660959871180757,0.029325918140591156,0
68,1TXFgBI8,band,11956,Weight_Price,7,0.9338298213644414,0.8353515785068848,1.0,1.0,0.9374454569310764,1.0,0.06617,-0.10209,0.9,0.93,0.06999999999999995,0.06999999999999995,0.1646484214931152,0.06255454306892361,0.04923912142877829,0.031277271534461804,0
69,1TXFgBI8,band,7555,Yearly income_Height,8,0.057909834076232965,-0.13381221741098126,0.2496318855634472,0.2546669331031937,-0.06062655665885858,0.5699604228652457,0.19676,0.24714,0.0,0.15,0.10466693310319372,0.10466693310319372,0.38344410297442844,0.6305869795241044,0.09586102574360712,0.15764674488102615,0
70,1WvItSyH,band,4814,Exercise amount_Body weight,8,-0.005518548942685497,-0.35161533084637897,0.3405782329610079,0.16442747383536416,-0.9570354543827236,1.0,0.16995,1.26484,-0.4,-0.38,0.5444274738353642,0.5444274738353642,0.6921935638073868,1.9570354543827237,0.17304839095184674,0.560731464109044,1
71,1WvItSyH,scatter,5271,Government spending_Budget deficit,0,0.9805816738691168,-1.0,1.0,-1.0,-1.0,1.0,-1.98058,0.0,0.9,0.88,-1.88,1.88,2.0,2.0,0.9902908369345584,1.0,1
72,1WvItSyH,scatter,4990,Immigrant population_Economic growth,2,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.4,0.24,0.76,0.76,2.0,2.0,1.0,1.0,1
73,1WvItSyH,scatter,3581,Income tax rate_Poverty rate,3,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,0.0,0.0,-0.05,1.05,1.05,2.0,2.0,1.0,1.0,1
74,1WvItSyH,scatter,3835,Labor union participation_Corporate profits,4,1.0,-0.8316907926573154,1.0,1.0,-1.0,1.0,0.0,0.16831,-0.4,-0.45,1.45,1.45,1.8316907926573154,2.0,0.9158453963286577,1.0,1
75,1WvItSyH,band,15958,Temperature_Crime rate,6,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.4,0.57,0.43000000000000005,0.43000000000000005,2.0,2.0,1.0,1.0,1
76,1WvItSyH,band,4589,Temperature_Sales of Mittens,5,1.0,-0.9109806413886548,1.0,1.0,-1.0,1.0,0.0,0.08902,-0.9,-0.89,1.8900000000000001,1.8900000000000001,1.9109806413886548,2.0,0.9554903206943274,1.0,1
77,1WvItSyH,scatter,4481,Vaccination rate_Rate of illness,1,1.0,-1.0,1.0,1.0,-0.952708468237668,1.0,0.0,-0.04729,-0.9,-0.93,1.9300000000000002,1.9300000000000002,2.0,1.952708468237668,1.0,0.976354234118834,1
78,1WvItSyH,band,4702,Weight_Price,9,-0.5978847462480608,-1.0,1.0,0.7861199905499203,-0.9400833139789506,1.0,1.384,-0.05992,0.9,0.93,-0.14388000945007973,0.14388000945007973,2.0,1.9400833139789506,0.7989423731240304,0.8631016522644355,1
79,1WvItSyH,band,4311,Yearly income_Height,7,-1.0,-1.0,0.9029365658381197,0.4061651586685395,-0.33677097623629204,1.0,1.40617,-0.56617,0.0,0.15,0.2561651586685395,0.2561651586685395,1.9029365658381197,1.336770976236292,0.9514682829190598,0.3714680674524158,1
80,1zPGOn0U,scatter,10385,Exercise amount_Body weight,1,0.15386414848378704,-0.2755721019373414,0.583300398904915,-0.6512232179040498,-1.0,-0.29752798735738656,-0.80509,-0.1564,-0.4,-0.38,-0.2712232179040498,0.2712232179040498,0.8588725008422564,0.7024720126426134,0.21471812521056421,0.17684761527333162,1
81,1zPGOn0U,band,4544,Government spending_Budget deficit,8,-0.36106226484528414,-0.8007347794067571,0.07861024971618867,0.5907323619414033,0.2776335613060397,0.9038311625767668,0.95179,-0.25315,0.9,0.88,-0.2892676380585967,0.2892676380585967,0.8793450291229458,0.6261976012707271,0.21983625728073647,0.1565494003176818,1
82,1zPGOn0U,band,4293,Immigrant population_Economic growth,9,0.4699094053979256,0.22568986520760514,0.7141289455882458,0.3833478678320685,0.207815926107358,0.5588798095567791,-0.08656,-0.13738,0.4,0.24,0.1433478678320685,0.1433478678320685,0.48843908038064066,0.3510638834494211,0.12210977009516022,0.0877659708623553,1
83,1zPGOn0U,band,4302,Income tax rate_Poverty rate,7,-0.44061385675561743,-0.5624505514236973,-0.31877716208753754,0.16156101250187715,-0.08676291644137851,0.4098849414451327,0.60217,0.25297,0.0,-0.05,0.21156101250187714,0.21156101250187714,0.24367338933615973,0.4966478578865112,0.060918347334039946,0.12416196447162783,1
84,1zPGOn0U,band,5560,Labor union participation_Corporate profits,6,0.2324097921396946,-0.1722163667669609,0.6370359510463499,-0.24868832447124994,-0.5070202759411262,0.00964362699862642,-0.4811,-0.29259,-0.4,-0.45,0.20131167552875007,0.20131167552875007,0.8092523178133109,0.5166639029397526,0.20231307945332774,0.12916597573493818,1
85,1zPGOn0U,scatter,5850,Temperature_Crime rate,4,0.16975500853948566,-0.3969325121894187,0.7364425292683898,0.3552445561045152,-0.38042749873358334,1.0,0.18549,0.24705,0.4,0.57,-0.21475544389548473,0.21475544389548473,1.1333750414578085,1.3804274987335834,0.2833437603644522,0.3678360274190493,1
86,1zPGOn0U,scatter,5149,Temperature_Sales of Mittens,3,0.16872367622264162,0.033428265713818066,0.3040190867314652,0.6135928454112041,0.3790067687265972,0.8481789220958107,0.44487,0.19858,-0.9,-0.89,1.503592845411204,1.503592845411204,0.27059082101764714,0.4691721533692135,0.0676477052544118,0.11729303834230342,1
87,1zPGOn0U,band,4824,Vaccination rate_Rate of illness,5,-0.4314925855163629,-0.6642369878553911,-0.19874818317733456,-0.5542647398168274,-0.8787193811068124,-0.2298100985268425,-0.12277,0.18342,-0.9,-0.93,0.3757352601831726,0.3757352601831726,0.46548880467805653,0.6489092825799698,0.11637220116951416,0.16222732064499246,1
88,1zPGOn0U,scatter,6930,Weight_Price,2,0.10996623033417352,-1.0,1.0,0.5304097462139363,0.17822871067672796,0.8825907817511449,0.42044,-1.29564,0.9,0.93,-0.3995902537860637,0.3995902537860637,2.0,0.704362071074417,0.5549831151670868,0.1760905177686043,1
