,congruent,diffBelief,diffBeliefAbs,diffUncertainty,diffUncertaintyAbs,nDataShown,postBelief,postUncertainty,postUncertaintyLower,postUncertaintyUpper,preBelief,preUncerainty,preUncertaintyLower,preUncertaintyUpper,usertoken,varindex,vars,visGroup
34,false,1.1331768416146224,1.1331768416146224,-1.59560057098041,1.59560057098041,100,-1,2.0,-1,1,0.1331768416146224,0.4043994290195901,-0.06902287289517256,0.3353765561244175,hbqFF73D,9,"Number of movies attended
Amount red meat eaten",hop
35,false,0.9396416654578208,0.9396416654578208,-1.7515170653897363,1.7515170653897363,10,-0.002337637884020305,1.9953247242319594,-1,0.9953247242319594,0.9373040275738005,0.2438076588422231,0.7561923411577769,1,hbqFF73D,10,"Years of education
Income",hop
36,false,-1.1146046891757513,1.1146046891757513,0.0,0.0,10,0.11460468917575128,2.0,-1,1,-1,2.0,-1,1,hbqFF73D,11,"College GPA
Post-college income",hop
37,true,0.04012415011545212,0.04012415011545212,0.034217197795353815,0.034217197795353815,100,-1,0.331082723855324,-0.668917276144676,-1,-0.9598758498845479,0.3652999216506778,-0.6347000783493222,-1,hbqFF73D,12,"Proportion of residents in poverty
Crime rate",hop
38,false,-1.4004911743193857,1.4004911743193857,-0.576315150019403,0.576315150019403,10,0.40049117431938575,1.1990176513612283,-0.1990176513612283,1,-1,0.6227025013418253,-0.37729749865817475,-1,hbqFF73D,13,"Number of religious population
racial diversity",hop
39,true,0.06043166801186817,0.06043166801186817,-0.6136674036751448,0.6136674036751448,100,-0.9204570136006545,0.8936167124975725,-0.10638328750242754,-1,-0.8600253455887863,0.27994930882242763,-0.7200506911775724,-1,hbqFF73D,14,"Avg. hours on social media
Depression severity",hop
40,true,-0.4713408945986448,0.4713408945986448,-1.0223573032471513,1.0223573032471513,10,0.9825195462222205,2.0,-1,1,0.5111786516235757,0.9776426967528487,0.02235730324715135,1,hbqFF73D,15,"Height
College GPA",hop
41,false,0.9015362108696345,0.9015362108696345,-0.32277364269205,0.32277364269205,10,-0.6250566712383683,0.8622668366228177,-0.13773316337718228,-1,0.27647953963126626,0.5394931939307677,0.006732942665882424,0.5462261365966501,LKxdz5an,0,"College GPA
Post-college income",band
42,false,-0.6810880438591109,0.6810880438591109,0.7097046164819809,0.7097046164819809,100,0.6748810010175628,0.3872344457504153,0.481263778142355,0.8684982238927703,-0.0062070428415481604,1.0969390622323962,-0.5546765739577464,0.5422624882746498,LKxdz5an,1,"Immigrant population
Crime rate",band
43,false,0.8659289902360063,0.8659289902360063,-0.0778327554187741,0.0778327554187741,100,-0.398527909610521,0.48154992550351694,-0.15775294685876262,-0.6393028723622796,0.46740108062548535,0.40371717008474284,0.26554249558311405,0.6692596656678569,LKxdz5an,2,"Minimum wage
Unemployment rate",band
44,false,0.5903235062867813,0.5903235062867813,-0.2956750594359949,0.2956750594359949,10,0.30290721553024325,0.5060312142092851,0.0498916084256007,0.5559228226348858,0.8932307218170246,0.21035615477329017,0.7880526444303795,0.9984087992036697,LKxdz5an,3,"Years of education
Income",band
45,true,-0.13612618466660176,0.13612618466660176,0.19108024243564214,0.19108024243564214,100,-0.47768787983038696,0.6136110060416691,-0.17088237680955243,-0.7844933828512215,-0.6138140644969887,0.8046912484773112,-0.19530875152268873,-1,LKxdz5an,4,"Avg. hours on social media
Avg. hours of sleep",band
46,false,0.7295545946664308,0.7295545946664308,-0.818920965443934,0.818920965443934,10,0.2704454053335692,1.0019907677418132,-0.23054997853733733,0.7714407892044759,1,0.18306980229787917,0.8169301977021208,1,LKxdz5an,5,"Homeless population
Uninsured population",band
47,true,0.12060441821485224,0.12060441821485224,0.07850841786609486,0.07850841786609486,100,0.8793955817851478,0.24120883642970403,0.758791163570296,1,1,0.3197172542957989,0.6802827457042011,1,LKxdz5an,6,"Proportion of residents in poverty
Crime rate",band
48,false,0.04270371417616525,0.04270371417616525,0.17618985566075018,0.17618985566075018,100,0.5250879855160906,0.6882267449547383,0.1809746130387213,0.8692013579934597,0.5677916996922558,0.8644166006154885,0.13558339938451147,1,LKxdz5an,7,"Annual carbon emissions
Global temperature increase",band
49,false,-0.5800287489462725,0.5800287489462725,-0.535953773293161,0.535953773293161,10,0.5402457969924961,0.8735675508220182,0.10346202158148676,0.977029572403505,-0.03978295195377651,0.3376137775288573,-0.20858984071820524,0.12902393681065205,LKxdz5an,8,"Number of religious population
racial diversity",band
50,true,0.06294138388835191,0.06294138388835191,0.4834729201768502,0.4834729201768502,100,0.5814233252179437,0.2277976616105586,0.4675244944126644,0.695322156023223,0.6443647091062956,0.7112705817874088,0.28872941821259124,1,LKxdz5an,9,"Avg. hours on social media
Depression severity",band
51,true,-0.2258047838563937,0.2258047838563937,0.6507717602565992,0.6507717602565992,10,0.2099152566143503,0.777107057738029,-0.17863827225466422,0.5984687854833648,-0.0158895272420434,1.4278788179946282,-0.7298289362393575,0.6980498817552707,LKxdz5an,10,"Height
College GPA",band
52,true,-0.4171416736159865,0.4171416736159865,-0.2705021341223668,0.2705021341223668,10,-0.43705562272455595,0.9169189728177989,-0.8955151091334554,0.021403863684343438,-0.8541972963405424,0.6464168386954321,-0.3535831613045679,-1,LKxdz5an,11,"Hours of TV watched in a month
Number of books read in a month",band
53,true,-0.5244598470472304,0.5244598470472304,-0.4342699501887042,0.4342699501887042,100,-0.4755401529527697,0.5573996416047773,-0.1968403321503811,-0.7542399737551584,-1,0.1231296914160731,-0.8768703085839269,-1,LKxdz5an,12,"Amount of rainfall
Number of sunny days",band
54,true,0.07932813246577619,0.07932813246577619,-0.4313434508555285,0.4313434508555285,10,0.5561270625925163,0.7294711208180256,0.19139150218350354,0.9208626230015291,0.6354551950582925,0.29812766996249707,0.486391360077044,0.784519030039541,LKxdz5an,13,"Parental income
Children's SAT scores",band
55,false,0.7730546805677445,0.7730546805677445,0.19372002391382037,0.19372002391382037,100,-0.7691215372232161,0.6333516769713425,-0.36664832302865746,-1,0.003933143344528434,0.8270717008851629,-0.409602707098053,0.4174689937871099,LKxdz5an,14,"Number of movies attended
Amount red meat eaten",band
56,true,0.40826093179768375,0.40826093179768375,-0.8939862757356585,0.8939862757356585,10,0.5402457969924961,0.9195084060150083,0.08049159398499173,1,0.9485067287901798,0.025522130279349797,0.9357456636505048,0.9612677939298546,LKxdz5an,15,"Number traffic violations
Car insurance premium",band
57,true,0.04027290737727274,0.04027290737727274,0.22376221893330417,0.22376221893330417,100,-1,0.0,-1,-1,-0.9597270926227273,0.22376221893330417,-0.7762377810666958,-1,fpFhSrvS,0,"Amount of rainfall
Number of sunny days",hop
58,false,0.8141433742799438,0.8141433742799438,-0.0680753792008355,0.0680753792008355,100,-0.5990514764786343,0.5250230654836898,-0.33653994373678936,-0.8615630092204791,0.21509189780130944,0.4569476862828543,-0.013381945340117607,0.4435657409427367,fpFhSrvS,1,"Immigrant population
Crime rate",hop
59,true,0.6457921225021788,0.6457921225021788,-0.3580187640631085,0.3580187640631085,10,0.35420787749782123,0.5713554037293143,0.06853017563316421,0.6398855793624785,1,0.21333663966620575,0.7866633603337942,1,fpFhSrvS,2,"Parental income
Children's SAT scores",hop
60,false,0.8818066678286658,0.8818066678286658,-0.17422445225009509,0.17422445225009509,100,-0.45978463448988466,0.8225294961038054,-0.048519886437981885,-0.8710493825417873,0.4220220333387812,0.6483050438537103,0.09786951141192612,0.7461745552656365,fpFhSrvS,3,"Annual carbon emissions
Global temperature increase",hop
61,true,0.7546761608248038,0.7546761608248038,-0.6062998202001868,0.6062998202001868,10,0.025179516227718635,0.8673100192349548,-0.4084754933897586,0.45883452584519624,0.7798556770525225,0.26101019903476796,0.6493505775351385,0.9103607765699064,fpFhSrvS,4,"Number traffic violations
Car insurance premium",hop
62,true,0.11057327894814883,0.11057327894814883,0.0008000800022436305,0.0008000800022436305,100,-0.8630364621483528,1.0453626302715988,-1,0.045362630271598814,-0.752463183200204,1.0461627102738424,-1,0.046162710273842444,fpFhSrvS,5,"Proportion of residents in poverty
Crime rate",hop
63,false,0.8122917628881139,0.8122917628881139,-0.4824567268006681,0.4824567268006681,10,0.013031580702500323,0.8048911899422724,-0.3894140142686359,0.4154771756736364,0.8253233435906142,0.3224344631416043,0.664106112019812,0.9865405751614162,fpFhSrvS,6,"College GPA
Post-college income",hop
64,true,-0.25008677337877816,0.25008677337877816,-0.2821820231247236,0.2821820231247236,100,-0.7177138587494494,0.7746491989920581,-0.22535080100794186,-1,-0.9678006321282275,0.49246717586733446,-0.5075328241326655,-1,fpFhSrvS,7,"Avg. hours on social media
Avg. hours of sleep",hop
65,false,0.8410035210962712,0.8410035210962712,0.42145666102151047,0.42145666102151047,100,-0.4417719934191098,0.9082686251783092,-0.8959063060082644,0.012362319170044822,0.3992315276771614,1.3297252861998197,-0.32972528619981967,1,fpFhSrvS,8,"Minimum wage
Unemployment rate",hop
66,true,0.3781480203160672,0.3781480203160672,-0.022289112660344612,0.022289112660344612,100,0.3594212770382228,0.8196708465307383,-0.050414146227146406,0.769256700303592,0.73756929735429,0.7973817338703937,0.20261826612960632,1,fpFhSrvS,9,"Avg. hours on social media
Depression severity",hop
67,false,-0.8580030894653092,0.8580030894653092,0.08449007565869882,0.08449007565869882,10,0.3679694671028313,0.5139477419814111,0.11099559611212562,0.6249433380935367,-0.49003362236247794,0.59843781764011,-0.19081471354242302,-0.7892525311825329,fpFhSrvS,10,"Number of religious population
racial diversity",hop
68,true,-0.41625601664710826,0.41625601664710826,-0.49497421602169744,0.49497421602169744,10,-0.25798975235617855,0.6530929902869198,-0.5845362474996385,0.0685567427872813,-0.6742457690032868,0.15811877426522236,-0.5951863818706757,-0.7533051561358981,fpFhSrvS,11,"Hours of TV watched in a month
Number of books read in a month",hop
69,false,0.9142322287660789,0.9142322287660789,-0.27903188570370063,0.27903188570370063,100,-0.2781323002477137,1.1580509765714275,-0.8571577885334274,0.30089318803800014,0.6360999285183653,0.8790190908677269,0.1209809091322731,1,fpFhSrvS,12,"Number of movies attended
Amount red meat eaten",hop
70,false,0.9937906140436696,0.9937906140436696,0.16773316911164815,0.16773316911164815,10,-0.6955551847703028,0.5508236236771145,-0.42014337293174564,-0.9709669966088601,0.2982354292733669,0.7185567927887626,-0.061042967121014424,0.6575138256677482,fpFhSrvS,13,"Homeless population
Uninsured population",hop
71,true,-0.004554293819577726,0.004554293819577726,0.032983319728514426,0.032983319728514426,10,-0.011952741751729112,0.21172635275137403,-0.11781591812741615,0.09391043462395787,-0.01650703557130684,0.24470967247988845,-0.13886187181125104,0.10584780066863742,fpFhSrvS,14,"Height
College GPA",hop
72,false,0.3885023395119438,0.3885023395119438,0.06485679593996063,0.06485679593996063,10,0.2524190987213175,0.6257214141059377,-0.06044160833165124,0.5652798057742865,0.6409214382332613,0.6905782100458984,0.2956323332103121,0.9862105432562105,fpFhSrvS,15,"Years of education
Income",hop
73,true,0.0,0.0,0.15829606612484337,0.15829606612484337,10,1,1.3724532002962304,-0.3724532002962304,1,1,1.5307492664210738,-0.5307492664210738,1,ZsVhjjrw,0,"Parental income
Children's SAT scores",line
74,true,0.052659932926541364,0.052659932926541364,0.33487865907879244,0.33487865907879244,10,0.9473400670734586,1.599677780895856,-0.599677780895856,1,1,1.9345564399746484,-0.9345564399746484,1,ZsVhjjrw,1,"Hours of TV watched in a month
Number of books read in a month",line
75,true,0.0,0.0,0.08885336229212637,0.08885336229212637,100,1,1.8171119157100502,-0.8171119157100502,1,1,1.9059652780021765,-0.9059652780021765,1,ZsVhjjrw,2,"Avg. hours on social media
Depression severity",line
76,false,0.08575799013930951,0.08575799013930951,0.021126125768003767,0.021126125768003767,10,0.8990583477232599,1.8881572809516947,-0.8881572809516947,1,0.9848163378625694,1.9092834067196984,-0.9092834067196984,1,ZsVhjjrw,3,"College GPA
Post-college income",line
77,false,0.0,0.0,-0.09898021049746353,0.09898021049746353,100,1,1.8635075117709459,-0.8635075117709459,1,1,1.7645273012734823,-0.7645273012734823,1,ZsVhjjrw,4,"Annual carbon emissions
Global temperature increase",line
78,true,0.0,0.0,-0.08696915149975615,0.08696915149975615,10,1,1.8057202679289,-0.8057202679289,1,1,1.7187511164291438,-0.7187511164291438,1,ZsVhjjrw,5,"Number traffic violations
Car insurance premium",line
79,false,0.007166695103212106,0.007166695103212106,0.19806998681667287,0.19806998681667287,10,0.9928333048967879,1.5924369366895592,-0.5924369366895592,1,1,1.790506923506232,-0.7905069235062321,1,ZsVhjjrw,6,"Homeless population
Uninsured population",line
80,false,-1.9299842183110987,1.9299842183110987,-0.09397056589460995,0.09397056589460995,10,1,1.951908772157397,-0.9519087721573971,1,-0.9299842183110987,1.8579382062627872,-1,0.8579382062627872,ZsVhjjrw,7,"Number of religious population
racial diversity",line
81,true,0.0,0.0,-0.2536480043269811,0.2536480043269811,10,1,1.889296829624786,-0.8892968296247861,1,1,1.635648825297805,-0.635648825297805,1,ZsVhjjrw,8,"Height
College GPA",line
82,false,0.0,0.0,-0.30962456467551824,0.30962456467551824,10,1,1.9023669673662267,-0.9023669673662267,1,1,1.5927424026907084,-0.5927424026907084,1,ZsVhjjrw,9,"Years of education
Income",line
83,false,-0.03388952849777027,0.03388952849777027,-0.10807947411587548,0.10807947411587548,100,1,1.9611746974928936,-0.9611746974928936,1,0.9661104715022297,1.8530952233770182,-0.8530952233770182,1,ZsVhjjrw,10,"Immigrant population
Crime rate",line
84,true,0.0,0.0,0.1586894134651251,0.1586894134651251,100,1,1.7789007436866426,-0.7789007436866426,1,1,1.9375901571517677,-0.9375901571517677,1,ZsVhjjrw,11,"Amount of rainfall
Number of sunny days",line
85,true,0.0,0.0,0.0,0.0,100,1,2.0,-1,1,1,2.0,-1,1,ZsVhjjrw,12,"Avg. hours on social media
Avg. hours of sleep",line
86,false,0.0,0.0,0.0,0.0,100,1,2.0,-1,1,1,2.0,-1,1,ZsVhjjrw,13,"Number of movies attended
Amount red meat eaten",line
87,false,0.0,0.0,0.0,0.0,100,1,2.0,-1,1,1,2.0,-1,1,ZsVhjjrw,14,"Minimum wage
Unemployment rate",line
88,true,0.0,0.0,-0.012858063964793942,0.012858063964793942,100,1,1.9565386925815902,-0.9565386925815902,1,1,1.9436806286167962,-0.9436806286167962,1,ZsVhjjrw,15,"Proportion of residents in poverty
Crime rate",line
89,false,0.0,0.0,-0.06774166533996206,0.06774166533996206,10,1,0.06774166533996206,0.9322583346600379,1,1,0.0,1,1,dPVcOLwK,0,"College GPA
Post-college income",line
90,false,-0.7068171971753756,0.7068171971753756,-0.026712462797248426,0.026712462797248426,10,0.6666945899725534,0.1893503539256216,0.5720194130097427,0.7613697669353643,-0.040122607202822236,0.16263789112837318,-0.12144155276700891,0.04119633836136427,dPVcOLwK,1,"Number of religious population
racial diversity",line
91,true,0.35490074449678866,0.35490074449678866,-0.0837251939561603,0.0837251939561603,10,0.6450992555032113,0.10981119765952396,0.5901936566734491,0.7000048543329731,1,0.02608600370336367,0.9739139962966363,1,dPVcOLwK,4,"Height
College GPA",line
92,false,-0.11235045695364732,0.11235045695364732,-0.1837665965713664,0.1837665965713664,10,0.47418414912708196,0.1837665965713664,0.38230085084139875,0.5660674474127652,0.36183369217343464,0.0,0.36183369217343464,0.36183369217343464,dPVcOLwK,9,"Years of education
Income",line
93,true,-0.18615558372445884,0.18615558372445884,1.082321274752296,1.082321274752296,10,0.5448387806970614,0.05993829612118917,0.5148696326364668,0.574807928757656,0.35868319697260254,1.142259570873485,-0.21244658846414,0.9298129824093451,dPVcOLwK,11,"Parental income
Children's SAT scores",line
94,false,0.7880908817084051,0.7880908817084051,-0.1261367293366582,0.1261367293366582,100,-0.4998016393138868,0.1261367293366582,-0.43673327464555767,-0.5628700039822159,0.28828924239451825,0.0,0.28828924239451825,0.28828924239451825,dPVcOLwK,12,"Minimum wage
Unemployment rate",line
95,true,0.20213236139464796,0.20213236139464796,0.22978157201988458,0.22978157201988458,10,-0.767274883268674,0.4654502334626518,-0.5345497665373482,-1,-0.565142521874026,0.6952318054825364,-0.21752661913275784,-0.9127584246152942,jvdwJSh1,0,"Number traffic violations
Car insurance premium",hop
96,true,0.4061332673920266,0.4061332673920266,-0.12642780091858352,0.12642780091858352,100,-0.8813836160827901,1.160509891291536,-1,0.16050989129153592,-0.47525034869076355,1.0340820903729524,-0.9922913938772397,0.041790696495712654,jvdwJSh1,1,"Avg. hours on social media
Depression severity",hop
97,false,-1.0604484962967207,1.0604484962967207,0.22860791470956682,0.22860791470956682,100,0.060448496296720666,0.2357654214672899,-0.05743421443692437,0.17833120703036554,-1,0.4643733361768567,-0.5356266638231433,-1,jvdwJSh1,2,"Immigrant population
Crime rate",hop
98,false,1.0938846783068166,1.0938846783068166,0.30607850382770385,0.30607850382770385,10,-0.9489752905692728,0.36450231581062864,-0.6354976841893714,-1,0.1449093877375438,0.6705808196383325,-0.19038102208162244,0.48019979755671005,jvdwJSh1,3,"College GPA
Post-college income",hop
99,false,0.8369000552804258,0.8369000552804258,-0.9931189098608242,0.9931189098608242,10,-0.32599016882725657,1.4296893751918882,-1,0.4296893751918882,0.5109098864531691,0.43657046533106403,0.29262465378763713,0.7291951191187012,jvdwJSh1,4,"Years of education
Income",hop
100,true,-0.37236396128280397,0.37236396128280397,-0.08571153199435133,0.08571153199435133,100,-0.4104245307261896,0.7222112780448364,-0.04931889170377146,-0.7715301697486079,-0.7827884920089936,0.6364997460504851,-0.36350025394951496,-1,jvdwJSh1,5,"Avg. hours on social media
Avg. hours of sleep",hop
101,false,-0.6481809282782411,0.6481809282782411,0.8542885923848802,0.8542885923848802,100,0.5186620317928854,0.8866736146444085,0.0753252244706808,0.9619988391150893,-0.1295188964853557,1.7409622070292887,-1,0.7409622070292887,jvdwJSh1,6,"Number of movies attended
Amount red meat eaten",hop
102,false,-0.9533292017944313,0.9533292017944313,-0.1917723848888797,0.1917723848888797,100,0.8475289813256643,0.7209761711461005,0.27902382885389954,1,-0.10580022046876691,0.5292037862572208,-0.37040211359737724,0.15880167265984357,jvdwJSh1,7,"Annual carbon emissions
Global temperature increase",hop
103,false,-0.9782902908346858,0.9782902908346858,-0.5677431882750996,0.5677431882750996,10,0.5634007109081753,1.1144018488583,-0.11440184885830013,1,-0.41488957992651043,0.5466586605832005,-0.14156024963491026,-0.6882189102181107,jvdwJSh1,8,"Number of religious population
racial diversity",hop
